listing_id,amenity_name,amenity_category
19710742,Kitchen,Kitchen and dining
19710742,Refrigerator,Kitchen and dining
19710742,Microwave,Kitchen and dining
19710742,Cooking basics,Kitchen and dining
19710742,Dishes and silverware,Kitchen and dining
19710742,Freezer,Kitchen and dining
19710742,Stove,Kitchen and dining
19710742,Oven,Kitchen and dining
19710742,Hot water kettle,Kitchen and dining
19710742,Dining table,Kitchen and dining
19710742,Free parking on premises,Parking and facilities
19710742,Free street parking,Parking and facilities
19710742,Long term stays allowed,Services
19710742,Self check-in,Services
19710742,Keypad,Services
19710742,Exterior security cameras on property,Not included
19710742,TV,Not included
19710742,Washer,Not included
19710742,Dryer,Not included
19710742,Carbon monoxide alarm,Not included
1545780467549214924,Hair dryer,Bathroom
1545780467549214924,Cleaning products,Bathroom
1545780467549214924,Shampoo,Bathroom
1545780467549214924,Conditioner,Bathroom
1545780467549214924,Body soap,Bathroom
1545780467549214924,Hot water,Bathroom
1545780467549214924,Shower gel,Bathroom
1545780467549214924,Washer,Bedroom and laundry
1545780467549214924,Essentials,Bedroom and laundry
1545780467549214924,Hangers,Bedroom and laundry
1545780467549214924,Bed linens,Bedroom and laundry
1545780467549214924,Extra pillows and blankets,Bedroom and laundry
1545780467549214924,Room-darkening shades,Bedroom and laundry
1545780467549214924,Iron,Bedroom and laundry
1545780467549214924,Clothing storage,Bedroom and laundry
1545780467549214924,TV,Entertainment
1545780467549214924,Air conditioning,Heating and cooling
1545780467549214924,Heating,Heating and cooling
1545780467549214924,Exterior security cameras on property,Home safety
1545780467549214924,Smoke alarm,Home safety
1545780467549214924,Carbon monoxide alarm,Home safety
1545780467549214924,Fire extinguisher,Home safety
1545780467549214924,First aid kit,Home safety
1545780467549214924,Wifi,Internet and office
1545780467549214924,Dedicated workspace,Internet and office
1545780467549214924,Kitchen,Kitchen and dining
1545780467549214924,Refrigerator,Kitchen and dining
1545780467549214924,Microwave,Kitchen and dining
1545780467549214924,Cooking basics,Kitchen and dining
1545780467549214924,Dishes and silverware,Kitchen and dining
1545780467549214924,Freezer,Kitchen and dining
1545780467549214924,Dishwasher,Kitchen and dining
1545780467549214924,Stove,Kitchen and dining
1545780467549214924,Oven,Kitchen and dining
1545780467549214924,Hot water kettle,Kitchen and dining
1545780467549214924,Coffee maker,Kitchen and dining
1545780467549214924,Toaster,Kitchen and dining
1545780467549214924,Baking sheet,Kitchen and dining
1545780467549214924,Blender,Kitchen and dining
1545780467549214924,Dining table,Kitchen and dining
1545780467549214924,Coffee,Kitchen and dining
1545780467549214924,Laundromat nearby,Location features
1545780467549214924,Self check-in,Services
1545780467549214924,Keypad,Services
1545780467549214924,Dryer,Not included
617499038697675576,Hair dryer,Bathroom
617499038697675576,Cleaning products,Bathroom
617499038697675576,Shampoo,Bathroom
617499038697675576,Conditioner,Bathroom
617499038697675576,Body soap,Bathroom
617499038697675576,Hot water,Bathroom
617499038697675576,Shower gel,Bathroom
